Results	Entity	Line	Column	CheckID	Check Name
      Fixed Value(1) used incorrectly	isConvertingConstructor	8351	72	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8356	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly		8361	9	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8366	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	isPure	8371	63	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8376	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	hasConst	8381	64	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8386	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	isDefaulted	8391	45	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8396	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	isStatic	8401	42	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8406	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	isVirtual	8411	43	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8416	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	isAbstract	8422	36	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8427	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	isScoped	8431	38	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	count	8610	19	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	count	8652	19	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	getNumTokens	8793	28	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	getNumTokens	8832	28	RECOMMENDED_08	Magic Numbers
      Program overly complex (Complexity:23)	clang_parseTranslationUnit_Impl	3375	0	RECOMMENDED_10	Overly Complex Functions
      Program overly complex (Complexity:22)	evaluateExpr	3763	29	RECOMMENDED_10	Overly Complex Functions
      Program overly complex (Complexity:30)	clang_getCursorSpelling	4449	9	RECOMMENDED_10	Overly Complex Functions
      Program overly complex (Complexity:23)	clang_Cursor_getSpellingNameRange	4610	14	RECOMMENDED_10	Overly Complex Functions
      Program overly complex (Complexity:27)	clang_getCursorDefinition	6189	9	RECOMMENDED_10	Overly Complex Functions
      Program overly complex (Complexity:22)	visitDeclsFromFileRegion	303	20	RECOMMENDED_10	Overly Complex Functions
      Program overly complex (Complexity:23)	VisitChildren	487	20	RECOMMENDED_10	Overly Complex Functions
      Program overly complex (Complexity:23)	VisitFunctionDecl	806	20	RECOMMENDED_10	Overly Complex Functions
      Program overly complex (Complexity:44)	RunVisitorWorkList	2971	20	RECOMMENDED_10	Overly Complex Functions
      Program overly complex (Complexity:31)	Visit	7041	22	RECOMMENDED_10	Overly Complex Functions
      Violation: clang_createIndex defined but not called.	clang_createIndex	3250	8	RECOMMENDED_13	Unused Functions
      Violation: clang_disposeIndex defined but not called.	clang_disposeIndex	3285	5	RECOMMENDED_13	Unused Functions
      Violation: clang_CXIndex_setGlobalOptions defined but not called.	clang_CXIndex_setGlobalOptions	3290	5	RECOMMENDED_13	Unused Functions
      Violation: clang_CXIndex_getGlobalOptions defined but not called.	clang_CXIndex_getGlobalOptions	3295	9	RECOMMENDED_13	Unused Functions
      Violation: clang_CXIndex_setInvocationEmissionPathOption defined but not called.	clang_CXIndex_setInvocationEmissionPathOption	3301	5	RECOMMENDED_13	Unused Functions
      Violation: clang_toggleCrashRecovery defined but not called.	clang_toggleCrashRecovery	3307	5	RECOMMENDED_13	Unused Functions
      Violation: clang_createTranslationUnit defined but not called.	clang_createTranslationUnit	3314	18	RECOMMENDED_13	Unused Functions
      Violation: clang_defaultEditingTranslationUnitOptions defined but not called.	clang_defaultEditingTranslationUnitOptions	3355	9	RECOMMENDED_13	Unused Functions
      Violation: clang_createTranslationUnitFromSourceFile defined but not called.	clang_createTranslationUnitFromSourceFile	3361	0	RECOMMENDED_13	Unused Functions
      Violation: clang_Type_getObjCEncoding defined but not called.	clang_Type_getObjCEncoding	3614	9	RECOMMENDED_13	Unused Functions
